doc_id,place_id,source_type,title,content,doc_url,post_date,author_name,author_link,search_query,collected_at
review_0001,DJ230901,naver_blog,대방역 카페/서울형키즈카페 시립1호점 카페 크리스앤벨라...,시립1호점 카페 크리스앤벨라를 대방역 카페 찾으시는 분들께 추천합니다 #대방역카페 #서울형키즈카페시립1호점카페 #크리스앤벨라 #대방역크리스엔벨라 #대방역빵집 #대방역커피 #서울형키즈카페대방점카페,https://blog.naver.com/justone486/224223266300,20260323,oneday.lab,blog.naver.com/justone486,서울형 키즈카페 시립 1호점,2026-03-25T12:34:48+09:00
review_0002,DJ230901,naver_blog,"3,000원으로 즐기는 프리미엄 서울형 키즈카페 이용 가이드","서울형 키즈카페 이용 전 필수 체크 서울형 키즈카페는 3,000원이라는 합리적인 가격에 프리미엄급... 혜화동에 1호점이 처음 문을 열었는데요. 그 이후로 성장을 거듭해서 2025년 9월 기준 서울 전역에 총...",https://blog.naver.com/psalmwest/224220389079,20260318,현우의테크노트,blog.naver.com/psalmwest,서울형 키즈카페 시립 1호점,2026-03-25T12:34:48+09:00
review_0003,DJ230901,naver_blog,"서울형 키즈카페 시립 1호점 후기, 주말 예약 오픈런 성공 후...",#서울형키즈카페 #서울형키즈카페시립1호점 #대방키즈카페 #공공형키즈카페 #키즈카페후기 #아이와가볼만한곳 #서울아이랑 #연년생육아 #육아일상 #워킹맘일상 #아이랑주말 #키즈카페추천 #서울키즈카페...,https://blog.naver.com/ggangeun/224220105728,20260317,로이현이맘의 사부작,blog.naver.com/ggangeun,서울형 키즈카페 시립 1호점,2026-03-25T12:34:48+09:00
review_0004,JN251201,naver_blog,[서울형 키즈카페]시립 공예마을점(서울공예박물관),◇서울형 키즈카페 공예마을점 (서울공예박물관 어린이박물관 교육동 2~3층) 예약 꿀팁 당일... 핫한 서울형 키즈카페 시립공예마을점에 다녀왔어요 방문해보니 예약이 힘든 이유를 알겠더라구요...,https://blog.naver.com/joyplus2026/224226400342,20260323,joyplus,blog.naver.com/joyplus2026,서울형 키즈카페 시립 공예마을점,2026-03-25T12:34:48+09:00
review_0005,JN251201,naver_blog,"3,000원으로 즐기는 프리미엄 서울형 키즈카페 이용 가이드","서울형 키즈카페 이용 전 필수 체크 서울형 키즈카페는 3,000원이라는 합리적인 가격에 프리미엄급... 종로구의 시립 공예마을점은 서울공예박물관 내부에 있어서 공예 연계 놀이가 가능하더라고요. 시설...",https://blog.naver.com/psalmwest/224220389079,20260318,현우의테크노트,blog.naver.com/psalmwest,서울형 키즈카페 시립 공예마을점,2026-03-25T12:34:48+09:00
review_0006,JN251201,naver_blog,[7살 아이랑] 서울형 키즈카페 시립 공예마을점_서울공예박물관...,그럼 이만 #서울공예박물관어린이 #서울공예박물관어린이박물관 #서울공예어린이박물관 #서울아이랑갈만한곳 #서울아이랑 #서울형키즈카페공예마을 #서울형키즈카페공예 #서울아이랑체험 #종로아이랑...,https://blog.naver.com/hyehye38/224219684587,20260317,꿈틀한 세상,blog.naver.com/hyehye38,서울형 키즈카페 시립 공예마을점,2026-03-25T12:34:48+09:00
review_0007,GJ240401,naver_blog,2026 서울스프링페스티벌 총정리 | 지금 안 가면 끝나는 한강...,"따르면 뚝섬 자벌레는 체험형 복합문화공간 한강플플로 운영 중이고, 2층에는 서울형 키즈카페... 한강플플은 미디어아트, 체험, 라운지 등을 갖춘 실내형 공간이고, 서울형 키즈카페 시립 뚝섬자벌레점은...",https://blog.naver.com/rang-g/224226045231,20260324,킴캄의 효율 육아,blog.naver.com/rang-g,서울형 키즈카페 시립 뚝섬자벌레점,2026-03-25T12:34:48+09:00
review_0008,GJ240401,naver_blog,아기랑 가기 좋은 한강 키즈카페 ‘서울형 키즈카페 뚝섬자벌레’,서울형 키즈카페 시립 뚝섬 자벌레점 서울 광진구 강변북로 2202 뚝섬전망복합문화시설 안녕하세요 니재입니다. 오늘은 광진구 아기랑 갈만한 곳 ! 서울형 키즈카페 뚝섬자벌레점을 소개해드리려고 해요...,https://blog.naver.com/nijaelog/224227484407,20260324,니재log,blog.naver.com/nijaelog,서울형 키즈카페 시립 뚝섬자벌레점,2026-03-25T12:34:48+09:00
review_0009,GJ240401,naver_blog,서울형 키즈카페 뚝섬자벌레점 25개월 아기 방문 후기 예약...,"넘어다녔답니다 서울형 키즈카페 뚝섬자벌레점은 지점 중 제일 대규모인 곳인데요 그만큼 그물존이랑 대형 미끄럼틀, 미니 미끄럼틀 등 다양한 대형 놀이기구들이 있어서 아이들이 부족함없이 제대로 놀 수...",https://blog.naver.com/chaessay/224225926873,20260323,ALOES.,blog.naver.com/chaessay,서울형 키즈카페 시립 뚝섬자벌레점,2026-03-25T12:34:48+09:00
review_0010,YC231201,naver_blog,"양천 서울형키즈카페 시립목동점, 요리체험 후기&예약방법","서울시립형키즈카페 시립목동점은 유아부터 초등학생까지 모두 이용할 수 있는, 이용 연령층이 넓~은 몇 안되는 서울형키즈카페입니다. 저희처럼 유아&초등 남매가 이용할 수 있는 카페라 좋아하기도 하지만...",https://blog.naver.com/psyche1901/224228235680,20260324,강이냥이 남매 이야기,blog.naver.com/psyche1901,서울형 키즈카페 시립 목동점,2026-03-25T12:34:48+09:00
